StartupName,FoundedYear,Country,Industry,FundingStage,TotalFunding($M),NumberofEmployees,AnnualRevenue($M),Valuation($B),SuccessScore,Acquired?,IPO?,CustomerBase(Millions),TechStack,SocialMediaFollowers,,Management focus,Revenue Per Employee,Company Tier,,,
Startup_17,2017,France,E-commerce,IPO, $183 ,1968," $95,000,000 ", $27.29 ,5,Yes,No,33,"PHP,Laravel",828711,,Shareholder Value," 48,272 ",Decacorn,,,
Startup_18,2010,India,FinTech,SeriesC, $427 ,4362," $668,000,000 ", $32.54 ,9,Yes,No,2,"Node.js,React",2016476,,Efficiency & Profit," 153,141 ",Decacorn,,,
Startup_19,2020,India,Energy,SeriesC, $267 ,995," $105,000,000 ", $42.96 ,1,No,Yes,18,"Java,Spring",1292825,,Efficiency & Profit," 105,528 ",Decacorn,,,
Startup_20,2008,Japan,Gaming,IPO, $156 ,1307," $834,000,000 ", $19.75 ,7,No,No,71,"Python,AI",3548884,,Shareholder Value," 638,103 ",Decacorn,,,
Startup_21,2001,Australia,FinTech,SeriesA, $441 ,470," $253,000,000 ", $5.67 ,6,Yes,Yes,63,"Node.js,React",622784,,Scalability," 538,298 ",Unicorn,,,
Startup_22,2011,France,AI,SeriesC, $344 ,1517," $143,000,000 ", $13.32 ,9,Yes,Yes,17,"PHP,Laravel",3013055,,Efficiency & Profit," 94,265 ",Decacorn,,,
Startup_23,2016,UK,FinTech,SeriesC, $173 ,4242," $763,000,000 ", $39.20 ,7,Yes,No,3,"C++,ML",4466664,,Efficiency & Profit," 179,868 ",Decacorn,,,
Startup_24,2009,USA,AI,Seed, $292 ,982," $701,000,000 ", $35.20 ,6,No,Yes,58,"PHP,Laravel",2009476,,Product-Market Fit," 713,849 ",Decacorn,,,
Startup_25,2001,Brazil,E-commerce,Seed, $94 ,2614," $858,000,000 ", $13.86 ,2,No,No,67,"Python,AI",1892546,,Product-Market Fit," 328,233 ",Decacorn,,,
Startup_26,2019,Australia,Gaming,Seed, $15 ,4449," $390,000,000 ", $17.82 ,9,No,Yes,64,"Node.js,React",3597210,,Product-Market Fit," 87,660 ",Decacorn,,,
Startup_27,2009,Australia,EdTech,SeriesB, $281 ,929," $148,000,000 ", $16.18 ,4,Yes,No,31,"Python,AI",1931102,,Market Expansion," 159,311 ",Decacorn,,,
Startup_28,2007,China,AI,SeriesB, $318 ,3707," $145,000,000 ", $40.77 ,7,No,Yes,58,"PHP,Laravel",4823603,,Market Expansion," 39,115 ",Decacorn,,,
Startup_29,2015,Germany,Gaming,Seed, $54 ,3489," $348,000,000 ", $1.89 ,2,Yes,No,73,"Python,AI",1831303,,Product-Market Fit," 99,742 ",Unicorn,,,
Startup_30,2018,France,Energy,Seed, $170 ,3377," $96,000,000 ", $49.77 ,7,Yes,No,25,"Python,AI",4378403,,Product-Market Fit," 28,428 ",Decacorn,,,
Startup_31,2007,Brazil,Gaming,SeriesA, $243 ,3292," $987,000,000 ", $45.29 ,5,No,Yes,4,"Java,Spring",2578332,,Scalability," 299,818 ",Decacorn,,,
Startup_32,2016,Canada,FinTech,SeriesA, $296 ,1705," $118,000,000 ", $38.13 ,2,No,No,1,"Node.js,React",2501035,,Scalability," 69,208 ",Decacorn,,,
Startup_33,2021,Germany,Energy,SeriesB, $355 ,4799," $792,000,000 ", $31.14 ,4,No,Yes,73,"Node.js,React",1137140,,Market Expansion," 165,034 ",Decacorn,,,
Startup_34,2016,Australia,FinTech,SeriesB, $309 ,396," $347,000,000 ", $22.09 ,8,No,Yes,93,"Python,AI",3776319,,Market Expansion," 876,263 ",Decacorn,,,
Startup_35,2009,Germany,EdTech,SeriesA, $38 ,3543," $734,000,000 ", $22.36 ,5,No,No,40,"Java,Spring",591983,,Scalability," 207,169 ",Decacorn,,,
Startup_36,2010,Canada,E-commerce,Seed, $251 ,3790," $194,000,000 ", $20.23 ,5,Yes,No,71,"Python,AI",3979306,,Product-Market Fit," 51,187 ",Decacorn,,,
Startup_37,2021,Australia,EdTech,SeriesA, $262 ,1520," $902,000,000 ", $26.47 ,2,Yes,Yes,99,"C++,ML",1643315,,Scalability," 593,421 ",Decacorn,,,
Startup_38,2016,UK,EdTech,SeriesC, $493 ,4514," $874,000,000 ", $43.55 ,5,Yes,Yes,80,"Node.js,React",2878660,,Efficiency & Profit," 193,620 ",Decacorn,,,
Startup_39,2006,China,Tech,SeriesB, $466 ,4013," $205,000,000 ", $27.11 ,3,Yes,No,64,"PHP,Laravel",1404970,,Market Expansion," 51,084 ",Decacorn,,,
Startup_40,2014,France,Gaming,SeriesC, $309 ,935," $966,000,000 ", $38.49 ,5,Yes,No,57,"Node.js,React",1892366,,Efficiency & Profit," 1,033,155 ",Decacorn,,,
Startup_41,2001,UK,Tech,SeriesC, $85 ,3916," $766,000,000 ", $20.26 ,2,No,Yes,64,"PHP,Laravel",2386447,,Efficiency & Profit," 195,608 ",Decacorn,,,
Startup_42,2002,China,Healthcare,SeriesA, $495 ,86," $188,000,000 ", $37.09 ,4,Yes,No,93,"C++,ML",2098731,,Scalability," 2,186,047 ",Decacorn,,,
Startup_43,2001,Brazil,Energy,IPO, $301 ,2200," $877,000,000 ", $19.29 ,3,No,No,61,"Node.js,React",3354095,,Shareholder Value," 398,636 ",Decacorn,,,
Startup_44,2011,UK,Gaming,SeriesC, $356 ,3943," $476,000,000 ", $1.36 ,4,Yes,Yes,65,"Node.js,React",991448,,Efficiency & Profit," 120,720 ",Unicorn,,,
Startup_45,2011,Brazil,AI,SeriesB, $321 ,2600," $834,000,000 ", $13.23 ,6,Yes,Yes,83,"Node.js,React",3439226,,Market Expansion," 320,769 ",Decacorn,,,
Startup_46,2020,Brazil,FinTech,SeriesC, $86 ,1418," $675,000,000 ", $25.97 ,6,No,No,5,"Python,AI",4702950,,Efficiency & Profit," 476,023 ",Decacorn,,,
Startup_47,2021,Japan,Energy,IPO, $80 ,3422," $625,000,000 ", $25.69 ,5,Yes,No,1,"Java,Spring",406193,,Shareholder Value," 182,642 ",Decacorn,,,
Startup_48,2015,Canada,Healthcare,Seed, $462 ,14," $955,000,000 ", $20.06 ,7,No,No,59,"PHP,Laravel",495267,,Product-Market Fit," 68,214,286 ",Decacorn,,,
Startup_49,2017,Japan,Gaming,SeriesB, $281 ,2016," $715,000,000 ", $38.01 ,9,No,No,38,"Python,AI",2197533,,Market Expansion," 354,663 ",Decacorn,,,
Startup_50,2015,USA,FoodTech,SeriesB, $307 ,775," $854,000,000 ", $8.69 ,3,Yes,No,76,"Node.js,React",3468338,,Market Expansion," 1,101,935 ",Unicorn,,,
Startup_51,2009,Japan,FinTech,SeriesA, $116 ,1514," $298,000,000 ", $31.80 ,3,No,No,7,"PHP,Laravel",1491326,,Scalability," 196,830 ",Decacorn,,,
Startup_52,2013,UK,Gaming,IPO, $434 ,2714," $632,000,000 ", $8.10 ,5,Yes,No,40,"Node.js,React",4894200,,Shareholder Value," 232,867 ",Unicorn,,,
Startup_53,2006,Japan,EdTech,IPO, $127 ,895," $267,000,000 ", $40.45 ,7,Yes,Yes,19,"Node.js,React",3449428,,Shareholder Value," 298,324 ",Decacorn,,,
Startup_54,2019,UK,Energy,IPO, $328 ,1230," $30,000,000 ", $26.88 ,6,No,Yes,42,"PHP,Laravel",4656413,,Shareholder Value," 24,390 ",Decacorn,,,
Startup_55,2002,Japan,FinTech,Seed, $42 ,1272," $532,000,000 ", $30.48 ,1,No,Yes,62,"Python,AI",1553509,,Product-Market Fit," 418,239 ",Decacorn,,,
Startup_56,2004,Australia,Logistics,IPO, $456 ,3426," $948,000,000 ", $15.82 ,9,Yes,No,80,"Node.js,React",1721293,,Shareholder Value," 276,708 ",Decacorn,,,
Startup_57,2003,Japan,Gaming,Seed, $113 ,546," $897,000,000 ", $40.30 ,7,No,No,40,"Python,AI",77085,,Product-Market Fit," 1,642,857 ",Decacorn,,,
Startup_58,2018,Brazil,Logistics,SeriesA, $53 ,1557," $3,000,000 ", $12.92 ,3,No,No,65,"PHP,Laravel",3864746,,Scalability," 1,927 ",Decacorn,,,
Startup_59,2000,India,FoodTech,SeriesC, $218 ,1968," $913,000,000 ", $10.88 ,1,No,No,98,"Java,Spring",4769265,,Efficiency & Profit," 463,923 ",Decacorn,,,
Startup_60,2015,Brazil,Logistics,SeriesC, $325 ,3077," $755,000,000 ", $32.09 ,9,No,Yes,6,"C++,ML",3527941,,Efficiency & Profit," 245,369 ",Decacorn,,,
Startup_61,2011,Japan,E-commerce,SeriesB, $484 ,2334," $312,000,000 ", $43.74 ,5,Yes,No,39,"Node.js,React",3695952,,Market Expansion," 133,676 ",Decacorn,,,
Startup_62,2013,India,Gaming,SeriesB, $156 ,4838," $154,000,000 ", $44.17 ,9,No,Yes,25,"Python,AI",3959671,,Market Expansion," 31,831 ",Decacorn,,,
Startup_63,2011,USA,FinTech,SeriesA, $119 ,4647," $313,000,000 ", $44.38 ,3,Yes,No,64,"Python,AI",86831,,Scalability," 67,355 ",Decacorn,,,
Startup_64,2018,UK,Tech,SeriesA, $259 ,4376," $647,000,000 ", $2.24 ,6,Yes,No,96,"Node.js,React",2418208,,Scalability," 147,852 ",Unicorn,,,
Startup_65,2007,Brazil,Gaming,IPO, $157 ,2333," $241,000,000 ", $40.23 ,2,Yes,No,60,"Java,Spring",4879626,,Shareholder Value," 103,300 ",Decacorn,,,
Startup_66,2017,Australia,Logistics,SeriesA, $86 ,1676," $668,000,000 ", $13.17 ,4,Yes,Yes,2,"Node.js,React",235387,,Scalability," 398,568 ",Decacorn,,,
Startup_67,2013,France,FoodTech,SeriesC, $482 ,4873," $506,000,000 ", $25.53 ,5,No,Yes,14,"Python,AI",758925,,Efficiency & Profit," 103,837 ",Decacorn,,,
Startup_68,2020,China,Logistics,Seed, $424 ,1531," $130,000,000 ", $28.64 ,5,No,Yes,16,"C++,ML",1138753,,Product-Market Fit," 84,912 ",Decacorn,,,
Startup_69,2010,Germany,E-commerce,SeriesA, $147 ,3371," $308,000,000 ", $28.29 ,5,No,No,6,"Python,AI",2304376,,Scalability," 91,368 ",Decacorn,,,
Startup_70,2013,France,Gaming,SeriesB, $222 ,1639," $597,000,000 ", $19.06 ,6,No,Yes,15,"Java,Spring",2314471,,Market Expansion," 364,246 ",Decacorn,,,
Startup_71,2009,Brazil,FinTech,IPO, $370 ,860," $784,000,000 ", $43.03 ,8,No,Yes,48,"Python,AI",1880741,,Shareholder Value," 911,628 ",Decacorn,,,
Startup_72,2008,India,E-commerce,SeriesC, $14 ,4705," $340,000,000 ", $6.57 ,5,Yes,Yes,80,"Node.js,React",2873936,,Efficiency & Profit," 72,264 ",Unicorn,,,
Startup_73,2011,USA,E-commerce,SeriesB, $455 ,168," $612,000,000 ", $9.67 ,6,No,Yes,11,"C++,ML",470816,,Market Expansion," 3,642,857 ",Unicorn,,,
Startup_74,2007,France,Healthcare,SeriesA, $300 ,1471," $599,000,000 ", $1.85 ,8,No,No,20,"Node.js,React",4353758,,Scalability," 407,206 ",Unicorn,,,
Startup_75,2017,Japan,FoodTech,Seed, $1 ,4353," $738,000,000 ", $41.18 ,2,Yes,Yes,64,"Python,AI",2104413,,Product-Market Fit," 169,538 ",Decacorn,,,
Startup_76,2000,Japan,E-commerce,Seed, $62 ,2824," $108,000,000 ", $16.00 ,1,Yes,No,3,"PHP,Laravel",1996260,,Product-Market Fit," 38,244 ",Decacorn,,,
Startup_77,2012,Canada,EdTech,SeriesB, $267 ,4643," $919,000,000 ", $3.76 ,1,Yes,No,12,"Java,Spring",3898124,,Market Expansion," 197,932 ",Unicorn,,,
Startup_78,2013,India,E-commerce,Seed, $189 ,2927," $229,000,000 ", $44.39 ,4,Yes,Yes,24,"PHP,Laravel",3026552,,Product-Market Fit," 78,237 ",Decacorn,,,
Startup_79,2005,Brazil,Healthcare,SeriesA, $438 ,1518," $868,000,000 ", $19.96 ,4,Yes,No,43,"Java,Spring",534264,,Scalability," 571,805 ",Decacorn,,,
Startup_80,2002,China,AI,SeriesC, $113 ,428," $554,000,000 ", $27.50 ,6,No,Yes,56,"PHP,Laravel",2067354,,Efficiency & Profit," 1,294,393 ",Decacorn,,,
Startup_81,2021,UK,FoodTech,IPO, $218 ,2288," $679,000,000 ", $23.91 ,8,No,Yes,91,"Node.js,React",4152000,,Shareholder Value," 296,766 ",Decacorn,,,
Startup_82,2005,China,E-commerce,SeriesA, $96 ,4050," $656,000,000 ", $17.14 ,3,No,Yes,66,"Java,Spring",4080920,,Scalability," 161,975 ",Decacorn,,,
Startup_83,2016,Australia,Energy,SeriesC, $113 ,2671," $494,000,000 ", $9.07 ,6,Yes,Yes,21,"C++,ML",3099819,,Efficiency & Profit," 184,949 ",Unicorn,,,
Startup_84,2005,China,Energy,SeriesA, $438 ,4725," $838,000,000 ", $46.66 ,6,Yes,No,12,"Java,Spring",1108667,,Scalability," 177,354 ",Decacorn,,,
Startup_85,2010,UK,Energy,SeriesB, $228 ,4885," $985,000,000 ", $28.14 ,4,Yes,Yes,83,"C++,ML",1531764,,Market Expansion," 201,638 ",Decacorn,,,
Startup_86,2011,UK,AI,SeriesB, $349 ,4395," $494,000,000 ", $0.41 ,3,No,Yes,44,"PHP,Laravel",3113439,,Market Expansion," 112,400 ",Growth,,,
Startup_87,2006,USA,Tech,SeriesC, $479 ,3651," $727,000,000 ", $8.02 ,1,Yes,Yes,36,"Java,Spring",1288611,,Efficiency & Profit," 199,124 ",Unicorn,,,
Startup_88,2020,India,Healthcare,IPO, $139 ,1415," $520,000,000 ", $47.94 ,6,Yes,No,89,"Java,Spring",2389982,,Shareholder Value," 367,491 ",Decacorn,,,
Startup_89,2000,Brazil,AI,Seed, $257 ,3117," $863,000,000 ", $13.55 ,3,Yes,No,56,"Node.js,React",2955915,,Product-Market Fit," 276,869 ",Decacorn,,,
Startup_90,2012,France,Energy,IPO, $496 ,1178," $603,000,000 ", $16.82 ,6,Yes,Yes,98,"Java,Spring",159923,,Shareholder Value," 511,885 ",Decacorn,,,
Startup_91,2020,Brazil,Gaming,Seed, $32 ,487," $217,000,000 ", $30.13 ,1,Yes,Yes,24,"Node.js,React",277526,,Product-Market Fit," 445,585 ",Decacorn,,,
Startup_92,2007,China,E-commerce,IPO, $9 ,1066," $791,000,000 ", $47.26 ,5,Yes,Yes,84,"Node.js,React",1688520,,Shareholder Value," 742,026 ",Decacorn,,,
Startup_93,2014,India,FinTech,SeriesB, $67 ,2765," $93,000,000 ", $24.54 ,1,No,No,29,"PHP,Laravel",4932557,,Market Expansion," 33,635 ",Decacorn,,,
Startup_94,2008,Germany,Energy,SeriesA, $81 ,979," $329,000,000 ", $38.65 ,6,No,Yes,42,"Java,Spring",2704138,,Scalability," 336,057 ",Decacorn,,,
Startup_95,2006,India,EdTech,SeriesB, $293 ,4767," $808,000,000 ", $3.39 ,7,No,No,16,"Python,AI",2980031,,Market Expansion," 169,499 ",Unicorn,,,
Startup_96,2004,France,AI,IPO, $112 ,2838," $341,000,000 ", $39.03 ,1,No,Yes,13,"PHP,Laravel",4741222,,Shareholder Value," 120,155 ",Decacorn,,,
Startup_97,2009,USA,FinTech,Seed, $72 ,894," $811,000,000 ", $32.73 ,3,Yes,Yes,79,"Java,Spring",11859,,Product-Market Fit," 907,159 ",Decacorn,,,
Startup_98,2020,Germany,FoodTech,SeriesC, $340 ,2505," $710,000,000 ", $10.07 ,9,No,Yes,8,"Python,AI",1754075,,Efficiency & Profit," 283,433 ",Decacorn,,,
Startup_99,2007,Germany,EdTech,SeriesC, $420 ,4821," $262,000,000 ", $22.57 ,3,Yes,No,11,"Python,AI",1470291,,Efficiency & Profit," 54,346 ",Decacorn,,,
Startup_100,2016,Brazil,EdTech,Seed, $55 ,2035," $476,000,000 ", $39.48 ,7,No,Yes,71,"C++,ML",4283807,,Product-Market Fit," 233,907 ",Decacorn,,,
Startup_101,2007,USA,EdTech,SeriesB, $165 ,4329," $346,000,000 ", $45.48 ,8,Yes,Yes,46,"PHP,Laravel",3754030,,Market Expansion," 79,926 ",Decacorn,,,
Startup_102,2000,China,FinTech,SeriesC, $376 ,1018," $924,000,000 ", $9.17 ,7,Yes,Yes,7,"Python,AI",608616,,Efficiency & Profit," 907,662 ",Unicorn,,,
Startup_103,2018,UK,Energy,SeriesA, $110 ,4246," $618,000,000 ", $30.12 ,2,No,Yes,89,"Node.js,React",3331432,,Scalability," 145,549 ",Decacorn,,,
Startup_104,2015,China,Logistics,IPO, $492 ,1064," $29,000,000 ", $11.60 ,9,No,Yes,93,"Node.js,React",3863345,,Shareholder Value," 27,256 ",Decacorn,,,
Startup_105,2000,France,Logistics,Seed, $306 ,4780," $805,000,000 ", $47.77 ,2,No,Yes,55,"Node.js,React",127563,,Product-Market Fit," 168,410 ",Decacorn,,,
Startup_106,2008,Japan,E-commerce,IPO, $291 ,4908," $707,000,000 ", $38.82 ,7,Yes,Yes,94,"Node.js,React",4789305,,Shareholder Value," 144,051 ",Decacorn,,,
Startup_107,2012,Japan,E-commerce,Seed, $305 ,4485," $352,000,000 ", $11.13 ,7,No,No,65,"Python,AI",4787479,,Product-Market Fit," 78,484 ",Decacorn,,,
Startup_108,2011,Brazil,Tech,SeriesC, $232 ,2772," $92,000,000 ", $47.42 ,2,No,Yes,28,"C++,ML",3373415,,Efficiency & Profit," 33,189 ",Decacorn,,,
Startup_109,2007,Japan,Tech,IPO, $15 ,737," $50,000,000 ", $33.30 ,3,No,Yes,56,"C++,ML",2255376,,Shareholder Value," 67,843 ",Decacorn,,,
Startup_110,2022,USA,E-commerce,SeriesC, $233 ,1152," $999,000,000 ", $14.27 ,2,No,No,3,"Python,AI",1469544,,Efficiency & Profit," 867,188 ",Decacorn,,,
Startup_111,2002,USA,FinTech,SeriesB, $455 ,4924," $467,000,000 ", $40.60 ,8,No,Yes,50,"Python,AI",3568628,,Market Expansion," 94,842 ",Decacorn,,,
Startup_112,2021,Canada,FinTech,SeriesB, $407 ,4959," $703,000,000 ", $25.76 ,5,No,No,83,"Node.js,React",92066,,Market Expansion," 141,762 ",Decacorn,,,
Startup_113,2002,Germany,Logistics,Seed, $292 ,3968," $876,000,000 ", $31.67 ,8,No,Yes,70,"Python,AI",3982687,,Product-Market Fit," 220,766 ",Decacorn,,,
Startup_114,2011,UK,Gaming,IPO, $409 ,3815," $591,000,000 ", $18.04 ,3,No,No,70,"Java,Spring",1456937,,Shareholder Value," 154,915 ",Decacorn,,,
Startup_115,2009,Brazil,Energy,SeriesA, $282 ,693," $601,000,000 ", $16.20 ,8,No,Yes,61,"C++,ML",734824,,Scalability," 867,244 ",Decacorn,,,
Startup_116,2011,Australia,Healthcare,Seed, $181 ,1238," $58,000,000 ", $0.53 ,9,No,Yes,86,"Node.js,React",3656662,,Product-Market Fit," 46,850 ",Growth,,,
Startup_117,2022,Brazil,Tech,SeriesA, $83 ,921," $278,000,000 ", $46.23 ,5,No,No,59,"Python,AI",3778623,,Scalability," 301,846 ",Decacorn,,,
Startup_118,2011,Japan,AI,IPO, $465 ,2947," $144,000,000 ", $43.92 ,7,No,Yes,57,"PHP,Laravel",4386676,,Shareholder Value," 48,863 ",Decacorn,,,
Startup_119,2000,Japan,AI,SeriesA, $60 ,1298," $732,000,000 ", $34.24 ,5,Yes,No,2,"C++,ML",2421331,,Scalability," 563,945 ",Decacorn,,,
Startup_120,2007,Australia,Energy,SeriesA, $420 ,4674," $691,000,000 ", $49.01 ,4,Yes,No,33,"C++,ML",3276266,,Scalability," 147,839 ",Decacorn,,,
Startup_121,2008,Australia,Logistics,SeriesA, $243 ,1172," $634,000,000 ", $8.77 ,1,Yes,Yes,80,"Java,Spring",385753,,Scalability," 540,956 ",Unicorn,,,
Startup_122,2022,Australia,FinTech,SeriesA, $455 ,3074," $14,000,000 ", $12.98 ,3,No,No,95,"PHP,Laravel",3334795,,Scalability," 4,554 ",Decacorn,,,
Startup_123,2014,Canada,AI,Seed, $267 ,4484," $594,000,000 ", $19.62 ,8,No,Yes,99,"PHP,Laravel",2044039,,Product-Market Fit," 132,471 ",Decacorn,,,
Startup_124,2010,China,FoodTech,SeriesC, $285 ,3333," $859,000,000 ", $16.56 ,5,No,No,1,"Java,Spring",790423,,Efficiency & Profit," 257,726 ",Decacorn,,,
Startup_125,2003,Japan,Logistics,SeriesA, $126 ,3005," $466,000,000 ", $11.32 ,9,Yes,No,54,"Python,AI",1647364,,Scalability," 155,075 ",Decacorn,,,
Startup_126,2013,China,Energy,Seed, $18 ,4988," $716,000,000 ", $15.14 ,6,No,Yes,17,"PHP,Laravel",264278,,Product-Market Fit," 143,545 ",Decacorn,,,
Startup_127,2012,Australia,FoodTech,SeriesB, $323 ,3800," $312,000,000 ", $33.15 ,9,No,Yes,15,"PHP,Laravel",553729,,Market Expansion," 82,105 ",Decacorn,,,
Startup_128,2015,USA,FinTech,SeriesB, $120 ,589," $537,000,000 ", $11.00 ,8,No,Yes,62,"Node.js,React",3553321,,Market Expansion," 911,715 ",Decacorn,,,
Startup_129,2002,Canada,Gaming,SeriesC, $93 ,3042," $562,000,000 ", $30.07 ,9,Yes,No,70,"Node.js,React",825322,,Efficiency & Profit," 184,747 ",Decacorn,,,
Startup_130,2022,China,Gaming,SeriesC, $210 ,4083," $465,000,000 ", $34.55 ,5,Yes,No,19,"C++,ML",2404821,,Efficiency & Profit," 113,887 ",Decacorn,,,
Startup_131,2006,Germany,EdTech,SeriesC, $282 ,814," $757,000,000 ", $10.67 ,1,No,No,14,"Node.js,React",1635486,,Efficiency & Profit," 929,975 ",Decacorn,,,
Startup_132,2005,UK,Logistics,Seed, $434 ,810," $392,000,000 ", $37.22 ,7,No,No,74,"Node.js,React",1796469,,Product-Market Fit," 483,951 ",Decacorn,,,
Startup_133,2014,Germany,Tech,IPO, $106 ,1238," $454,000,000 ", $7.05 ,8,Yes,No,83,"Python,AI",4811853,,Shareholder Value," 366,721 ",Unicorn,,,
Startup_134,2016,UK,Tech,IPO, $413 ,3142," $893,000,000 ", $35.34 ,7,Yes,Yes,22,"PHP,Laravel",1590553,,Shareholder Value," 284,214 ",Decacorn,,,
Startup_135,2000,India,E-commerce,SeriesA, $364 ,279," $428,000,000 ", $36.79 ,3,No,Yes,54,"C++,ML",656788,,Scalability," 1,534,050 ",Decacorn,,,
Startup_136,2020,UK,FoodTech,SeriesC, $157 ,2895," $741,000,000 ", $28.30 ,8,Yes,Yes,89,"Java,Spring",508255,,Efficiency & Profit," 255,959 ",Decacorn,,,
Startup_137,2003,Japan,Energy,Seed, $177 ,2065," $561,000,000 ", $32.81 ,1,Yes,No,53,"PHP,Laravel",1609421,,Product-Market Fit," 271,671 ",Decacorn,,,
Startup_138,2015,Germany,Healthcare,SeriesC, $358 ,2010," $623,000,000 ", $42.25 ,1,No,No,90,"C++,ML",4113834,,Efficiency & Profit," 309,950 ",Decacorn,,,
Startup_139,2018,Canada,EdTech,SeriesC, $381 ,4646," $921,000,000 ", $22.08 ,8,Yes,No,24,"Java,Spring",4264548,,Efficiency & Profit," 198,235 ",Decacorn,,,
Startup_140,2012,China,Tech,IPO, $108 ,1498," $856,000,000 ", $18.01 ,7,No,No,80,"Node.js,React",3444413,,Shareholder Value," 571,429 ",Decacorn,,,
Startup_141,2022,China,Logistics,IPO, $302 ,4200," $757,000,000 ", $24.17 ,6,No,Yes,21,"C++,ML",4439797,,Shareholder Value," 180,238 ",Decacorn,,,
Startup_142,2012,Germany,FoodTech,SeriesC, $79 ,330," $210,000,000 ", $38.26 ,7,Yes,Yes,30,"Python,AI",2756869,,Efficiency & Profit," 636,364 ",Decacorn,,,
Startup_143,2003,Germany,Energy,Seed, $388 ,241," $50,000,000 ", $39.23 ,4,No,Yes,96,"C++,ML",14506,,Product-Market Fit," 207,469 ",Decacorn,,,
Startup_144,2021,China,E-commerce,IPO, $445 ,2055," $394,000,000 ", $8.99 ,9,No,Yes,96,"Node.js,React",502517,,Shareholder Value," 191,727 ",Unicorn,,,
Startup_145,2017,China,FoodTech,Seed, $362 ,3684," $450,000,000 ", $33.49 ,8,No,Yes,16,"Java,Spring",1993652,,Product-Market Fit," 122,150 ",Decacorn,,,
Startup_146,2021,UK,AI,SeriesA, $191 ,1970," $77,000,000 ", $48.17 ,3,Yes,Yes,37,"Java,Spring",4886213,,Scalability," 39,086 ",Decacorn,,,
Startup_147,2014,USA,Energy,SeriesC, $472 ,4553," $629,000,000 ", $12.31 ,6,No,Yes,88,"Java,Spring",2989111,,Efficiency & Profit," 138,151 ",Decacorn,,,
Startup_148,2022,Japan,Gaming,SeriesA, $430 ,1969," $966,000,000 ", $13.48 ,2,No,No,38,"C++,ML",4993892,,Scalability," 490,604 ",Decacorn,,,
